company,location,total_laid_off,date,percentage_laid_off,industry,stage,funds_raised,country,date_added,months,year,company_stage,funding_level,layoff_severity,full_shutdown,covid_period,layoff_percentage
sentinelone,sf bay area,230.0,2026-05-29,0.08,security,post-ipo,696.0,united states,2026-05-29,5,2026,mature,very high funding,low,0,after covid,8.0
rapyd,"tel aviv, non-u.s.",75.0,2026-05-28,0.2,finance,unknown,770.0,israel,2026-05-28,5,2026,unknown,very high funding,severe,0,after covid,20.0
netapp,sf bay area,77.0,2026-05-27,0.14,data,post-ipo,426.0,united states,2026-05-28,5,2026,mature,high funding,moderate,0,after covid,14.000000000000002
lightricks,"jerusalem, non-u.s.",129.5,2026-05-27,0.17,consumer,series d,335.0,israel,2026-05-28,5,2026,growth,high funding,severe,0,after covid,17.0
webflow,sf bay area,58.0,2026-05-27,0.14,marketing,series c,335.0,united states,2026-05-27,5,2026,growth,high funding,moderate,0,after covid,14.000000000000002
groupon,chicago,400.0,2026-05-26,0.25,retail,post-ipo,1400.0,united states,2026-05-26,5,2026,mature,very high funding,full shutdown,0,after covid,25.0
bigid,new york city,70.0,2026-05-26,0.2,security,series e,306.0,united states,2026-05-26,5,2026,growth,high funding,severe,0,after covid,20.0
picnic,seattle,124.0,2026-05-26,1.0,food,unknown,52.0,united states,2026-05-26,5,2026,unknown,low funding,full shutdown,1,after covid,100.0
wix,"tel aviv, non-u.s.",1000.0,2026-05-25,0.2,marketing,post-ipo,58.0,israel,2026-05-25,5,2026,mature,low funding,severe,0,after covid,20.0
clickup,san diego,112.0,2026-05-21,0.22,product,series c,537.0,united states,2026-05-21,5,2026,growth,very high funding,full shutdown,0,after covid,22.0
meta,sf bay area,8000.0,2026-05-20,0.1,consumer,post-ipo,26000.0,united states,2026-04-20,5,2026,mature,very high funding,low,0,after covid,10.0
intuit,sf bay area,3000.0,2026-05-20,0.17,finance,post-ipo,18.0,united states,2026-05-20,5,2026,mature,low funding,severe,0,after covid,17.0
ai21 labs,"tel aviv, non-u.s.",110.0,2026-05-18,0.61,ai,series d,626.0,israel,2026-05-20,5,2026,growth,very high funding,full shutdown,0,after covid,61.0
kraken,sf bay area,150.0,2026-05-15,0.2,crypto,unknown,134.0,united states,2026-05-15,5,2026,unknown,medium funding,severe,0,after covid,20.0
innovaccer,sf bay area,340.0,2026-05-14,0.2,healthcare,series e,379.0,united states,2026-05-16,5,2026,growth,high funding,severe,0,after covid,20.0
dune,"oslo, non-u.s.",70.0,2026-05-14,0.25,crypto,series b,79.0,norway,2026-05-15,5,2026,startup,medium funding,full shutdown,0,after covid,25.0
gambling.com group,"dublin, non-u.s.",112.0,2026-05-14,0.15,other,post-ipo,276.0,ireland,2026-05-15,5,2026,mature,high funding,moderate,0,after covid,15.0
cisco,sf bay area,4000.0,2026-05-13,0.05,infrastructure,post-ipo,2.0,united states,2026-05-13,5,2026,mature,low funding,low,0,after covid,5.0
linkedin,sf bay area,875.0,2026-05-13,0.05,recruiting,acquired,154.0,united states,2026-05-13,5,2026,mature,medium funding,low,0,after covid,5.0
jumia,"lagos, non-u.s.",200.0,2026-05-13,0.18,retail,post-ipo,1200.0,nigeria,2026-05-15,5,2026,mature,very high funding,severe,0,after covid,18.0
guesty,"tel aviv, non-u.s.",20.0,2026-05-13,0.02,travel,series f,411.0,israel,2026-05-13,5,2026,growth,high funding,low,0,after covid,2.0
breadfast,"cairo, non-u.s.",58.0,2026-05-12,0.2,food,series c,89.0,egypt,2026-05-13,5,2026,growth,medium funding,severe,0,after covid,20.0
marin software,cleveland,200.0,2026-05-11,0.22,real estate,acquired,16.0,united states,2026-05-13,5,2026,mature,low funding,full shutdown,0,after covid,22.0
one identity,"dresden, non-u.s.",41.0,2026-05-11,0.1,security,unknown,186.5,germany,2026-05-15,5,2026,unknown,high funding,low,0,after covid,10.0
gitlab,sf bay area,35.5,2026-05-11,0.16,product,post-ipo,413.0,united states,2026-05-11,5,2026,mature,high funding,moderate,0,after covid,16.0
messagebird,"amsterdam, non-u.s.",112.0,2026-05-11,0.2,other,series c,1100.0,netherlands,2026-05-13,5,2026,growth,very high funding,severe,0,after covid,20.0
zoominfo,portland,600.0,2026-05-10,0.2,sales,post-ipo,7.0,united states,2026-05-11,5,2026,mature,low funding,severe,0,after covid,20.0
adda247,"gurugram, non-u.s.",200.0,2026-05-10,0.2,education,series b,61.0,india,2026-05-11,5,2026,startup,low funding,severe,0,after covid,20.0
parker,new york city,75.0,2026-05-09,1.0,finance,series b,57.0,united states,2026-05-11,5,2026,startup,low funding,full shutdown,1,after covid,100.0
staffbase,"chemnitz, non-u.s.",176.0,2026-05-08,0.22,other,series e,306.0,germany,2026-05-11,5,2026,growth,high funding,full shutdown,0,after covid,22.0
cloudflare,sf bay area,1100.0,2026-05-07,0.2,security,post-ipo,332.0,united states,2026-05-07,5,2026,mature,high funding,severe,0,after covid,20.0
bill.com,sf bay area,709.0,2026-05-07,0.3,finance,post-ipo,280.0,united states,2026-05-07,5,2026,mature,high funding,full shutdown,0,after covid,30.0
ticketmaster,los angeles,350.0,2026-05-07,0.08,consumer,acquired,85.0,united states,2026-05-09,5,2026,mature,medium funding,low,0,after covid,8.0
deepl,"cologne, non-u.s.",250.0,2026-05-07,0.21,ai,unknown,400.0,germany,2026-05-07,5,2026,unknown,high funding,severe,0,after covid,21.0
upwork,sf bay area,151.0,2026-05-07,0.24,other,post-ipo,168.0,united states,2026-05-07,5,2026,mature,medium funding,full shutdown,0,after covid,24.0
truecaller,"stockholm, non-u.s.",70.0,2026-05-07,0.17,consumer,post-ipo,101.0,sweden,2026-05-07,5,2026,mature,medium funding,severe,0,after covid,17.0
arctic wolf,minneapolis,250.0,2026-05-06,0.1,security,unknown,899.0,united states,2026-05-07,5,2026,unknown,very high funding,low,0,after covid,10.0
pocket fm,"bengaluru, non-u.s.",100.0,2026-05-06,0.1,media,series d,212.0,india,2026-05-06,5,2026,growth,high funding,low,0,after covid,10.0
lsports,"tel aviv, non-u.s.",40.0,2026-05-06,0.2,data,unknown,186.5,israel,2026-05-11,5,2026,unknown,high funding,severe,0,after covid,20.0
apnamart,"bengaluru, non-u.s.",35.0,2026-05-06,0.1,food,series b,40.0,india,2026-05-06,5,2026,startup,low funding,low,0,after covid,10.0
realpha,columbus,100.0,2026-05-06,0.25,real estate,post-ipo,229.0,united states,2026-05-10,5,2026,mature,high funding,full shutdown,0,after covid,25.0
paypal,sf bay area,4760.0,2026-05-05,0.2,finance,post-ipo,216.0,united states,2026-05-06,5,2026,mature,high funding,severe,0,after covid,20.0
coinbase,sf bay area,700.0,2026-05-05,0.14,crypto,post-ipo,549.0,united states,2026-05-05,5,2026,mature,very high funding,moderate,0,after covid,14.000000000000002
freshworks,sf bay area,500.0,2026-05-05,0.11,support,post-ipo,484.0,united states,2026-05-06,5,2026,mature,very high funding,low,0,after covid,11.0
0g,sf bay area,70.0,2026-05-05,0.25,crypto,unknown,186.5,united states,2026-05-07,5,2026,unknown,high funding,full shutdown,0,after covid,25.0
careem,"dubai, non-u.s.",128.0,2026-05-05,0.17,transportation,acquired,771.0,united arab emirates,2026-05-07,5,2026,mature,very high funding,severe,0,after covid,17.0
shopify,"ottawa, non-u.s.",30.0,2026-05-04,0.18,retail,post-ipo,122.0,canada,2026-05-07,5,2026,mature,medium funding,severe,0,after covid,18.0
pentera,boston,40.0,2026-04-27,0.08,security,series d,249.0,united states,2026-04-30,4,2026,growth,high funding,low,0,after covid,8.0
superops,"chennai, non-u.s.",60.0,2026-04-24,0.3,other,series c,54.0,india,2026-04-30,4,2026,growth,low funding,full shutdown,0,after covid,30.0
remarkable,"oslo, non-u.s.",200.0,2026-04-22,0.08,hardware,unknown,104.0,norway,2026-05-20,4,2026,unknown,medium funding,low,0,after covid,8.0
epidemic sound,"stockholm, non-u.s.",150.0,2026-04-21,0.33,media,private equity,509.0,sweden,2026-05-07,4,2026,mature,very high funding,full shutdown,0,after covid,33.0
geocomply,"vancouver, non-u.s.",68.0,2026-04-21,0.15,security,private equity,263.0,united states,2026-05-11,4,2026,mature,high funding,moderate,0,after covid,15.0
acko,"mumbai, non-u.s.",60.0,2026-04-20,0.05,finance,unknown,143.0,india,2026-04-20,4,2026,unknown,medium funding,low,0,after covid,5.0
sama,"nairobi, non-u.s.",1108.0,2026-04-16,0.2,ai,series b,85.0,kenya,2026-05-15,4,2026,startup,medium funding,severe,0,after covid,20.0
shutterfly,"haifa, non-u.s.",80.0,2026-04-16,0.12,manufacturing,post-ipo,50.0,united states,2026-04-17,4,2026,mature,low funding,moderate,0,after covid,12.0
quora,sf bay area,129.5,2026-04-16,0.17,consumer,series d,226.0,united states,2026-04-20,4,2026,growth,high funding,severe,0,after covid,17.0
snap,los angeles,1000.0,2026-04-15,0.16,consumer,post-ipo,4900.0,united states,2026-04-15,4,2026,mature,very high funding,moderate,0,after covid,16.0
ukg,boston,950.0,2026-04-15,0.15,hr,unknown,186.5,united states,2026-04-17,4,2026,unknown,high funding,moderate,0,after covid,15.0
taboola,new york city,100.0,2026-04-15,0.05,marketing,post-ipo,445.0,united states,2026-05-05,4,2026,mature,very high funding,low,0,after covid,5.0
swyftx,"brisbane, non-u.s.",37.0,2026-04-15,0.15,crypto,unknown,186.5,australia,2026-05-21,4,2026,unknown,high funding,moderate,0,after covid,15.0
nayax,"tel aviv, non-u.s.",32.0,2026-04-15,0.03,finance,post-ipo,245.0,israel,2026-05-05,4,2026,mature,high funding,low,0,after covid,3.0
productboard,sf bay area,35.5,2026-04-15,0.3,product,series d,263.0,united states,2026-04-16,4,2026,growth,high funding,full shutdown,0,after covid,30.0
gocardless,"london, non-u.s.",90.0,2026-04-14,0.2,finance,series g,529.0,united kingdom,2026-04-30,4,2026,growth,very high funding,severe,0,after covid,20.0
eventbrite,sf bay area,129.5,2026-04-13,0.17,consumer,acquired,290.0,united states,2026-04-17,4,2026,mature,high funding,severe,0,after covid,17.0
starkware,"tel aviv, non-u.s.",70.0,2026-04-13,0.2,crypto,series d,273.0,israel,2026-04-17,4,2026,growth,high funding,severe,0,after covid,20.0
esh group,"tel aviv, non-u.s.",75.0,2026-04-12,0.2,finance,acquired,85.0,israel,2026-05-05,4,2026,mature,medium funding,severe,0,after covid,20.0
life360,sf bay area,129.5,2026-04-10,0.17,consumer,post-ipo,158.0,united states,2026-04-30,4,2026,mature,medium funding,severe,0,after covid,17.0
cars.com,chicago,128.0,2026-04-09,0.11,transportation,acquired,85.0,united states,2026-04-17,4,2026,mature,medium funding,low,0,after covid,11.0
pepper pay,miami,75.0,2026-04-09,1.0,finance,unknown,186.5,united states,2026-04-17,4,2026,unknown,high funding,full shutdown,1,after covid,100.0
iac,new york city,77.0,2026-04-08,0.02,consumer,post-ipo,426.0,united states,2026-05-07,4,2026,mature,high funding,low,0,after covid,2.0
gopro,sf bay area,145.0,2026-04-07,0.23,consumer,post-ipo,288.0,united states,2026-04-08,4,2026,mature,high funding,full shutdown,0,after covid,23.0
pendo,raleigh,90.0,2026-04-07,0.1,product,series f,469.0,united states,2026-04-08,4,2026,growth,very high funding,low,0,after covid,10.0
bolt,sf bay area,75.0,2026-04-05,0.33,finance,series e,1300.0,united states,2026-04-07,4,2026,growth,very high funding,full shutdown,0,after covid,33.0
welltech,"limassol, non-u.s.",225.0,2026-04-03,0.3,fitness,unknown,186.5,cyprus,2026-05-07,4,2026,unknown,high funding,full shutdown,0,after covid,30.0
neuropixel.ai,"bengaluru, non-u.s.",100.0,2026-04-03,1.0,retail,seed,1.0,india,2026-04-07,4,2026,startup,low funding,full shutdown,1,after covid,100.0
vimeo,new york city,129.5,2026-04-03,0.17,consumer,post-ipo,450.0,united states,2026-04-04,4,2026,mature,very high funding,severe,0,after covid,17.0
meta,sf bay area,200.0,2026-04-02,0.17,consumer,post-ipo,26000.0,united states,2026-04-07,4,2026,mature,very high funding,severe,0,after covid,17.0
mara,miami,70.0,2026-04-02,0.15,crypto,post-ipo,4100.0,united states,2026-05-10,4,2026,mature,very high funding,moderate,0,after covid,15.0
sonos,santa barbara,129.5,2026-04-01,0.17,consumer,post-ipo,455.2,united states,2026-04-07,4,2026,mature,very high funding,severe,0,after covid,17.0
oracle,sf bay area,30000.0,2026-03-31,0.15,product,post-ipo,426.0,united states,2026-03-31,3,2026,mature,high funding,moderate,0,after covid,15.0
monzo,"london, non-u.s.",50.0,2026-03-31,0.2,finance,series f,324.0,united kingdom,2026-03-31,3,2026,growth,high funding,severe,0,after covid,20.0
covrzy,"bengaluru, non-u.s.",75.0,2026-03-31,1.0,finance,seed,4.5,india,2026-04-04,3,2026,startup,low funding,full shutdown,1,after covid,100.0
rec room,seattle,129.5,2026-03-31,1.0,consumer,series f,294.0,united states,2026-04-01,3,2026,growth,high funding,full shutdown,1,after covid,100.0
yupp,sf bay area,50.0,2026-03-31,1.0,ai,seed,33.0,united states,2026-04-01,3,2026,startup,low funding,full shutdown,1,after covid,100.0
enpal,"berlin, non-u.s.",100.0,2026-03-27,0.25,energy,series e,3500.0,germany,2026-03-31,3,2026,growth,very high funding,full shutdown,0,after covid,25.0
monte carlo,sf bay area,79.0,2026-03-26,0.3,data,series d,236.0,united states,2026-03-31,3,2026,growth,high funding,full shutdown,0,after covid,30.0
quandoo,"berlin, non-u.s.",124.0,2026-03-26,1.0,food,acquired,39.0,germany,2026-04-17,3,2026,mature,low funding,full shutdown,1,after covid,100.0
meta,sf bay area,700.0,2026-03-25,0.01,consumer,post-ipo,26000.0,united states,2026-03-25,3,2026,mature,very high funding,low,0,after covid,1.0
epic games,raleigh,1000.0,2026-03-24,0.17,consumer,unknown,6400.0,united states,2026-03-24,3,2026,unknown,very high funding,severe,0,after covid,17.0
zendesk,sf bay area,100.0,2026-03-24,0.11,support,acquired,85.0,united states,2026-03-31,3,2026,mature,medium funding,low,0,after covid,11.0
opentext,"waterloo, non-u.s.",79.0,2026-03-24,0.14,data,post-ipo,1100.0,canada,2026-03-25,3,2026,mature,very high funding,moderate,0,after covid,14.000000000000002
spotify,"stockholm, non-u.s.",15.0,2026-03-23,0.15,media,post-ipo,2100.0,sweden,2026-03-25,3,2026,mature,very high funding,moderate,0,after covid,15.0
gemini,new york city,70.0,2026-03-20,0.3,crypto,unknown,423.0,united states,2026-03-22,3,2026,unknown,high funding,full shutdown,0,after covid,30.0
crypto.com,"singapore, non-u.s.",70.0,2026-03-19,0.12,crypto,unknown,186.5,singapore,2026-03-22,3,2026,unknown,high funding,moderate,0,after covid,12.0
snowflake,sf bay area,79.0,2026-03-19,0.14,data,post-ipo,2900.0,united states,2026-03-24,3,2026,mature,very high funding,moderate,0,after covid,14.000000000000002
franshares,chicago,75.0,2026-03-17,1.0,finance,seed,6.0,united states,2026-03-22,3,2026,startup,low funding,full shutdown,1,after covid,100.0
dell,austin,11000.0,2026-03-16,0.1,hardware,post-ipo,426.0,united states,2026-04-22,3,2026,mature,high funding,low,0,after covid,10.0
stone,"sao paulo, non-u.s.",400.0,2026-03-13,0.03,finance,post-ipo,521.0,brazil,2026-03-17,3,2026,mature,very high funding,low,0,after covid,3.0
loopio,"toronto, non-u.s.",36.0,2026-03-13,0.12,sales,private equity,263.0,canada,2026-05-10,3,2026,mature,high funding,moderate,0,after covid,12.0
digg,new york city,129.5,2026-03-13,0.17,consumer,acquired,49.0,united states,2026-03-13,3,2026,mature,low funding,severe,0,after covid,17.0
atlassian,"sydney, non-u.s.",1600.0,2026-03-11,0.1,product,post-ipo,210.0,australia,2026-03-11,3,2026,mature,high funding,low,0,after covid,10.0
investcloud,los angeles,150.0,2026-03-10,0.2,finance,private equity,54.0,united states,2026-03-17,3,2026,mature,low funding,severe,0,after covid,20.0
flipkart,"bengaluru, non-u.s.",500.0,2026-03-06,0.18,retail,acquired,12900.0,india,2026-03-07,3,2026,mature,very high funding,severe,0,after covid,18.0
ssense,"montreal, non-u.s.",215.0,2026-03-05,0.18,retail,series a,20.0,canada,2026-03-07,3,2026,startup,low funding,severe,0,after covid,18.0
supernal,los angeles,296.0,2026-03-04,0.8,transportation,unknown,186.5,united states,2026-03-07,3,2026,unknown,high funding,full shutdown,0,after covid,80.0
envato,"melbourne, non-u.s.",200.0,2026-03-04,0.3,marketing,unknown,186.5,australia,2026-03-07,3,2026,unknown,high funding,full shutdown,0,after covid,30.0
amazon,seattle,100.0,2026-03-04,0.18,retail,post-ipo,8100.0,united states,2026-03-17,3,2026,mature,very high funding,severe,0,after covid,18.0
at-bay,"tel aviv, non-u.s.",25.0,2026-03-04,0.1,security,unknown,296.0,united states,2026-03-07,3,2026,unknown,high funding,low,0,after covid,10.0
microvision,seattle,49.0,2026-03-03,0.15,other,post-ipo,415.0,united states,2026-03-07,3,2026,mature,high funding,moderate,0,after covid,15.0
verint systems,new york city,70.0,2026-03-02,0.1,security,acquired,213.0,united states,2026-03-07,3,2026,mature,high funding,low,0,after covid,10.0
zap africa,"lagos, non-u.s.",75.0,2026-02-28,0.44,finance,seed,4.5,nigeria,2026-03-03,2,2026,startup,low funding,full shutdown,0,after covid,44.0
block,sf bay area,4000.0,2026-02-26,0.4,finance,post-ipo,150.0,united states,2026-02-26,2,2026,mature,medium funding,full shutdown,0,after covid,40.0
ocado,"london, non-u.s.",1000.0,2026-02-26,0.05,food,post-ipo,2000.0,united kingdom,2026-03-03,2,2026,mature,very high funding,low,0,after covid,5.0
ebay,sf bay area,800.0,2026-02-26,0.06,retail,post-ipo,1200.0,israel,2026-02-26,2,2026,mature,very high funding,low,0,after covid,6.0
c3.ai,sf bay area,280.0,2026-02-25,0.26,ai,series f,228.0,united states,2026-02-26,2,2026,growth,high funding,full shutdown,0,after covid,26.0
deliveroo,"london, non-u.s.",187.0,2026-02-25,0.2,food,post-ipo,1700.0,united kingdom,2026-03-17,2,2026,mature,very high funding,severe,0,after covid,20.0
wisetech,"sydney, non-u.s.",2000.0,2026-02-24,0.3,logistics,post-ipo,3000.0,australia,2026-02-25,2,2026,mature,very high funding,full shutdown,0,after covid,30.0
truecar,los angeles,100.0,2026-02-24,0.3,transportation,post-ipo,340.0,united states,2026-02-25,2,2026,mature,high funding,full shutdown,0,after covid,30.0
draftkings,boston,129.5,2026-02-24,0.17,consumer,post-ipo,719.0,united states,2026-02-25,2,2026,mature,very high funding,severe,0,after covid,17.0
livspace,"bengaluru, non-u.s.",1000.0,2026-02-20,0.12,consumer,series f,482.0,india,2026-02-22,2,2026,growth,very high funding,moderate,0,after covid,12.0
lucid motors,sf bay area,128.0,2026-02-20,0.12,transportation,post-ipo,8300.0,united states,2026-02-22,2,2026,mature,very high funding,moderate,0,after covid,12.0
codecademy,new york city,100.0,2026-02-19,0.2,education,acquired,87.0,united states,2026-03-17,2,2026,mature,medium funding,severe,0,after covid,20.0
cyberark,boston,500.0,2026-02-17,0.12,security,acquired,1700.0,united states,2026-02-18,2,2026,mature,very high funding,moderate,0,after covid,12.0
huawei,"tel aviv, non-u.s.",50.0,2026-02-15,0.08,hardware,unknown,186.5,israel,2026-02-18,2,2026,unknown,high funding,low,0,after covid,8.0
axonius,new york city,40.0,2026-02-15,0.04,security,series e,865.0,united states,2026-02-18,2,2026,growth,very high funding,low,0,after covid,4.0
firebolt,"tel aviv, non-u.s.",79.0,2026-02-15,0.14,data,series c,264.0,israel,2026-03-07,2,2026,growth,high funding,moderate,0,after covid,14.000000000000002
clari,sf bay area,76.0,2026-02-12,0.1,sales,acquired,496.0,united states,2026-02-18,2,2026,mature,very high funding,low,0,after covid,10.0
glossier,new york city,50.0,2026-02-11,0.33,retail,series e,266.0,united states,2026-02-13,2,2026,growth,high funding,full shutdown,0,after covid,33.0
dayforce,"toronto, non-u.s.",60.0,2026-02-11,0.05,hr,post-ipo,40.0,canada,2026-02-18,2,2026,mature,low funding,low,0,after covid,5.0
fi.money,"bengaluru, non-u.s.",75.0,2026-02-10,0.4,finance,series c,141.0,india,2026-03-17,2,2026,growth,medium funding,full shutdown,0,after covid,40.0
salesforce,sf bay area,73.0,2026-02-09,0.1,sales,post-ipo,65.0,united states,2026-02-11,2,2026,mature,medium funding,low,0,after covid,10.0
workday,sf bay area,400.0,2026-02-04,0.02,hr,post-ipo,230.0,united states,2026-02-05,2,2026,mature,high funding,low,0,after covid,2.0
rewire,"tel aviv, non-u.s.",110.0,2026-02-04,0.2,finance,acquired,57.0,israel,2026-02-18,2,2026,mature,low funding,severe,0,after covid,20.0
smartsheet,seattle,112.0,2026-02-04,0.15,product,post-ipo,152.0,united states,2026-02-07,2,2026,mature,medium funding,moderate,0,after covid,15.0
zillow,seattle,200.0,2026-02-02,0.22,real estate,post-ipo,97.0,united states,2026-02-05,2,2026,mature,medium funding,full shutdown,0,after covid,22.0
zipcar,boston,126.0,2026-02-02,0.17,transportation,acquired,107.0,united states,2026-02-10,2,2026,mature,medium funding,severe,0,after covid,17.0
expedia,seattle,100.0,2026-02-01,0.22,travel,post-ipo,3300.0,united states,2026-02-07,2,2026,mature,very high funding,full shutdown,0,after covid,22.0
zupee,"new delhi, non-u.s.",200.0,2026-01-30,0.17,consumer,series b,121.0,india,2026-02-03,1,2026,startup,medium funding,severe,0,after covid,17.0
peloton,new york city,135.0,2026-01-30,0.11,fitness,post-ipo,1900.0,united states,2026-02-03,1,2026,mature,very high funding,low,0,after covid,11.0
kiwi.com,"brno, non-u.s.",250.0,2026-01-29,0.36,travel,unknown,107.0,czech republic,2026-02-03,1,2026,unknown,medium funding,full shutdown,0,after covid,36.0
gloo,boulder,129.5,2026-01-29,0.17,consumer,post-ipo,152.0,united states,2026-02-18,1,2026,mature,medium funding,severe,0,after covid,17.0
amazon,seattle,16000.0,2026-01-28,0.18,retail,post-ipo,8100.0,united states,2026-01-28,1,2026,mature,very high funding,severe,0,after covid,18.0
asml,"veldhoven, non-u.s.",1700.0,2026-01-28,0.08,hardware,post-ipo,426.0,netherlands,2026-02-03,1,2026,mature,high funding,low,0,after covid,8.0
pinterest,sf bay area,700.0,2026-01-27,0.15,consumer,post-ipo,1500.0,united states,2026-01-27,1,2026,mature,very high funding,moderate,0,after covid,15.0
moon active,"tel aviv, non-u.s.",110.0,2026-01-27,0.05,consumer,unknown,425.0,israel,2026-03-07,1,2026,unknown,high funding,low,0,after covid,5.0
expedia,seattle,130.0,2026-01-26,0.22,travel,post-ipo,3300.0,united states,2026-01-28,1,2026,mature,very high funding,full shutdown,0,after covid,22.0
entropy,new york city,70.0,2026-01-25,1.0,crypto,seed,27.0,united states,2026-01-26,1,2026,startup,low funding,full shutdown,1,after covid,100.0
roof stacks,"istanbul, non-u.s.",220.0,2026-01-24,0.17,consumer,seed,1.0,turkey,2026-05-25,1,2026,startup,low funding,severe,0,after covid,17.0
autodesk,sf bay area,1000.0,2026-01-22,0.07,other,post-ipo,426.0,united states,2026-01-23,1,2026,mature,high funding,low,0,after covid,7.000000000000001
shopify,"ottawa, non-u.s.",100.0,2026-01-22,0.18,retail,post-ipo,122.0,canada,2026-01-26,1,2026,mature,medium funding,severe,0,after covid,18.0
vimeo,new york city,129.5,2026-01-21,0.17,consumer,post-ipo,450.0,united states,2026-01-23,1,2026,mature,very high funding,severe,0,after covid,17.0
vimeo,"tel aviv, non-u.s.",129.5,2026-01-20,0.17,consumer,post-ipo,450.0,united states,2026-03-07,1,2026,mature,very high funding,severe,0,after covid,17.0
polygon,"cayman islands, non-u.s.",60.0,2026-01-16,0.2,crypto,unknown,451.0,cayman islands,2026-01-16,1,2026,unknown,very high funding,severe,0,after covid,20.0
ericsson,"stockholm, non-u.s.",1600.0,2026-01-15,0.15,other,post-ipo,663.0,sweden,2026-01-16,1,2026,mature,very high funding,moderate,0,after covid,15.0
tipalti,sf bay area,100.0,2026-01-15,0.2,finance,series f,565.0,united states,2026-01-19,1,2026,growth,very high funding,severe,0,after covid,20.0
playtika,"tel aviv, non-u.s.",500.0,2026-01-14,0.15,consumer,post-ipo,426.0,israel,2026-01-15,1,2026,mature,high funding,moderate,0,after covid,15.0
aleph alpha,"frankfurt, non-u.s.",50.0,2026-01-14,0.16,ai,series b,534.0,germany,2026-01-19,1,2026,startup,very high funding,moderate,0,after covid,16.0
meta,sf bay area,1500.0,2026-01-13,0.02,consumer,post-ipo,26000.0,united states,2026-01-14,1,2026,mature,very high funding,low,0,after covid,2.0
etoro,"tel aviv, non-u.s.",105.0,2026-01-13,0.07,finance,unknown,322.0,israel,2026-01-14,1,2026,unknown,high funding,low,0,after covid,7.000000000000001
storedot,"tel aviv, non-u.s.",112.0,2026-01-13,0.15,other,series d,184.0,israel,2026-01-14,1,2026,growth,medium funding,moderate,0,after covid,15.0
mercadolibre,"buenos aires, non-u.s.",116.0,2026-01-12,0.18,retail,post-ipo,5100.0,brazil,2026-01-14,1,2026,mature,very high funding,severe,0,after covid,18.0
formfactor,sf bay area,220.0,2026-01-09,0.11,manufacturing,post-ipo,15.0,united states,2026-01-13,1,2026,mature,low funding,low,0,after covid,11.0
kaseya,miami,250.0,2026-01-08,0.05,security,private equity,547.0,united states,2026-01-13,1,2026,mature,very high funding,low,0,after covid,5.0
hailo,"tel aviv, non-u.s.",30.0,2026-01-08,0.1,manufacturing,series c,344.0,israel,2026-01-13,1,2026,growth,high funding,low,0,after covid,10.0
foretellix,"tel aviv, non-u.s.",29.0,2026-01-08,0.18,transportation,series c,132.0,israel,2026-01-13,1,2026,growth,medium funding,severe,0,after covid,18.0
tailwind labs,oklahoma city,3.0,2026-01-08,0.16,product,unknown,186.5,united states,2026-01-13,1,2026,unknown,high funding,moderate,0,after covid,16.0
angi,indianapolis,350.0,2026-01-07,0.17,consumer,post-ipo,180.0,united states,2026-01-13,1,2026,mature,medium funding,severe,0,after covid,17.0
multiverse,"london, non-u.s.",55.0,2026-01-05,0.2,education,series d,414.0,united kingdom,2026-01-13,1,2026,growth,high funding,severe,0,after covid,20.0
sapiens,"tel aviv, non-u.s.",700.0,2025-12-28,0.15,finance,acquired,88.0,israel,2025-12-31,12,2025,mature,medium funding,moderate,0,after covid,15.0
yellow.ai,sf bay area,100.0,2025-12-23,0.3,support,series c,102.0,united states,2025-12-26,12,2025,growth,medium funding,full shutdown,0,after covid,30.0
the trade desk,los angeles,58.0,2025-12-17,0.14,marketing,post-ipo,257.0,united states,2025-12-19,12,2025,mature,high funding,moderate,0,after covid,14.000000000000002
amazon,seattle,84.0,2025-12-15,0.18,retail,post-ipo,8100.0,united states,2025-12-19,12,2025,mature,very high funding,severe,0,after covid,18.0
powerschool,sacramento,100.0,2025-12-12,0.2,education,acquired,31.0,united states,2025-12-15,12,2025,mature,low funding,severe,0,after covid,20.0
zebra technologies,chicago,104.0,2025-12-12,0.12,manufacturing,post-ipo,2000.0,united states,2025-12-19,12,2025,mature,very high funding,moderate,0,after covid,12.0
believer meats,"jerusalem, non-u.s.",124.0,2025-12-11,0.2,food,series b,389.0,israel,2025-12-12,12,2025,startup,high funding,severe,0,after covid,20.0
eyeem,"berlin, non-u.s.",112.0,2025-12-11,1.0,other,acquired,24.0,germany,2025-12-12,12,2025,mature,low funding,full shutdown,1,after covid,100.0
lusha,boston,24.0,2025-12-10,0.08,sales,series b,245.0,united states,2025-12-12,12,2025,startup,high funding,low,0,after covid,8.0
tenstorrent,"toronto, non-u.s.",80.0,2025-12-09,0.07,hardware,series d,1000.0,canada,2025-12-12,12,2025,growth,very high funding,low,0,after covid,7.000000000000001
whatfix,"bengaluru, non-u.s.",60.0,2025-12-09,0.06,ai,series e,265.0,india,2026-02-07,12,2025,growth,high funding,low,0,after covid,6.0
vsco,sf bay area,24.0,2025-12-09,0.17,consumer,series b,90.0,united states,2025-12-10,12,2025,startup,medium funding,severe,0,after covid,17.0
genwise,"new delhi, non-u.s.",112.0,2025-12-09,1.0,other,seed,3.0,india,2025-12-10,12,2025,startup,low funding,full shutdown,1,after covid,100.0
